image,text
/content/drive/MyDrive/data/raw/books/book1.jpg,ہوٹل کا عملہ نہایت دوستانہ ہے۔ عملہ نے 
/content/drive/MyDrive/data/raw/books/book2.jpg, میری بہت مدد کی۔ میں یہاں ضرور واپس آؤں گا
/content/drive/MyDrive/data/raw/books/book3.jpg, ہوٹل کی فضا خوشگوار ہے۔ ہوٹل کا ماحول
/content/drive/MyDrive/data/raw/books/book4.jpg,خوشگوار ہے۔ ہوٹل کا عملہ دوستانہ ہے
/content/drive/MyDrive/data/raw/books/book5.jpg,ہوٹل کا سٹاف اور عملہ نہایت اچھا اور دوستانہ
/content/drive/MyDrive/data/raw/books/book6.jpg,ہے۔ ہوٹل کے کمرے صاف اور کھانا مزے کا ہے
/content/drive/MyDrive/data/raw/books/book7.jpg,ہوٹل کی کھڑکی نہیں کھلتی۔ ہوٹل میں اچھے بیڈ
/content/drive/MyDrive/data/raw/books/book8.jpg,نہیں۔ ہوٹل کا رینٹ بہت زیادہ ہے۔
/content/drive/MyDrive/data/raw/books/book9.jpg,ہوٹل کے کمرے کے آدھے بلب جلتے ہیں تھے ۔
/content/drive/MyDrive/data/raw/books/book10.jpg,کمرے کا پنکھا بہت گرد آلود تھا ۔
/content/drive/MyDrive/data/raw/books/book11.jpg,ہوٹل کے واش روم گندے تھے ۔ ہوٹل کی صفائی
/content/drive/MyDrive/data/raw/books/book12.jpg,کا خیال نہیں رکھا گیا ۔ میں دوبارہ نہیں آوں گا
/content/drive/MyDrive/data/raw/books/book13.jpg,ہوٹل کی چائے کا ذائقہ عجیب تھا ۔ چائے گرم نہیں تھی ۔
/content/drive/MyDrive/data/raw/books/book14.jpg,ہوٹل کا رینٹ مناسب ہے ۔ ہوٹل ٹھیک ہے ۔
/content/drive/MyDrive/data/raw/books/book15.jpg,کل رات کافی شور ہوتا رہا ، میں نے شکایت بھی کی
/content/drive/MyDrive/data/raw/books/book16.jpg,لیکن کوئی سٹاف کمرے میں نہ آیا اور مدد نہ کی ۔
